x,y,z
579.42638,203.73038,-0.00006
557.99606,206.25208,0.00001
542.73039,189.13677,-0.00001
522.61145,181.45624,0.00001
0,0,0
0,0,0
190.10310,316.95252,0.00023
174.40495,342.34153,0.00020
169.28465,352.61095,0.00033
151.02592,375.72479,0.00037
137.74532,400.72306,0.00046
115.41505,424.76290,0.00049
97.25012,449.88309,0.00047
80.47083,464.24027,0.00045
65.12185,481.68645,0.00056
48.32459,503.53607,0.00060
34.60143,528.71480,0.00060
0,0,0
26.21517,575.62319,0.00041
-1.98581,616.36011,0.00012
-21.41507,622.20151,0.00043
0,0,0
-0.00245,646.16951,0.00015
2.46479,662.57002,0.00027
14.18842,671.40483,0.00033
41.84834,656.87121,0.00021
9.32492,686.57498,0.00013
30.83535,708.65196,0.00003
32.76902,729.02892,-0.00005
