x,y,z
368.52628,161.68699,0.00017
351.27963,163.08889,0.00015
331.96867,170.94676,0.00019
311.52320,175.48815,0.00019
285.67323,171.70926,0.00008
268.23503,186.69993,0.00009
253.25638,201.80963,0.00002
251.85202,208.01179,-0.00005
239.17776,226.60795,-0.00012
229.46955,225.09834,-0.00013
229.11346,225.30084,-0.00021
231.19497,220.80791,-0.00018
236.46609,217.90322,-0.00019
243.06747,206.62810,-0.00022
248.52193,204.64314,-0.00018
251.00681,196.50549,-0.00019
253.79013,184.98552,-0.00014
258.35629,171.75899,-0.00015
256.90378,156.80629,-0.00019
263.31030,142.90068,-0.00021
267.17560,129.07416,-0.00027
276.83264,99.75154,-0.00019
278.40677,63.83306,-0.00018
287.03167,44.40384,-0.00025
