x,y,z
465.52139,1056.24797,0.00011
456.06214,1060.70271,0.00018
453.11917,1063.40103,0.00021
451.34628,1070.45554,0.00022
456.06980,1070.48271,0.00022
457.50395,1074.96062,0.00026
446.73494,1067.60955,0.00024
444.84106,1071.28608,0.00027
451.06215,1072.89830,0.00018
449.36148,1081.79305,0.00007
443.72944,1076.09880,0.00031
443.61820,1076.34838,0.00028
449.75410,1062.33373,0.00031
444.19956,1086.93851,0.00026
441.51106,1066.97528,0.00035
436.46530,1074.33073,0.00030
449.09185,1068.62986,0.00038
446.66579,1075.96336,0.00027
443.48511,1085.51149,0.00029
432.49168,1076.94762,0.00028
433.00833,1059.00210,0.00034
445.40471,1060.46826,0.00025
0,0,0
0,0,0
521.98174,951.21109,-0.00002
521.99083,937.97266,0.00038
521.60179,947.75227,0.00040
518.89778,953.39386,0.00043
520.10393,954.82635,0.00044
519.69372,956.75715,0.00045
520.12173,956.49116,0.00046
520.61811,956.08561,0.00044
516.27823,954.21622,0.00044
515.73589,954.60587,0.00046
515.45437,955.78827,0.00046
515.42496,953.97167,0.00050
512.45327,952.82930,0.00048
513.79372,951.95370,0.00051
512.50860,951.47824,0.00051
511.51245,948.87667,0.00047
516.15475,949.12464,0.00052
516.04774,956.12437,0.00047
515.56280,956.96900,0.00054
513.71000,955.40223,0.00054
